Player,Competetion,season,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG_y,npxG,xAG,SCA,GCA,Cmp_x,Att_x,Cmp%_x,PrgP,Carries,PrgC,Att_x.1,Succ,SoTA,GA,Saves,Save%,PSxG,Cmp_y,Att_y,Cmp%_y,Att (GK),Thr,Launch%,AvgLen,Att_y.1,Launch%.1,AvgLen.1,Opp,Stp,Stp%,#OPA,AvgDist,Home
Jesus Vazquez,La-Liga,2021-2022,es ESP,LB,18-266,21,0,0,0,0,0,0,0,0,21,0,0,2,0,0,0,1,0,12,18,66.7,0,7,1,1,0,,,,,,,,,,,,,,,,,,,,,Real Madrid
Dominik Greif,La-Liga,2021-2022,sk SVK,GK,24-173,90,0,0,0,0,0,0,0,0,33,0,0,0,0,0,0,0,0,20,31,64.5,0,17,0,0,0,6,3,3,50,1.5,1,10,10,21,6,33.3,34.1,10,30,32.7,13,0,0,1,12.5,Cádiz
Jesús Areso,La-Liga,2021-2022,es ESP,RB,22-086,82,0,0,0,0,0,0,0,0,36,2,0,0,0,0,0,3,0,22,30,73.3,1,11,1,0,0,,,,,,,,,,,,,,,,,,,,,Barcelona
Beñat Turrientes,La-Liga,2021-2022,es ESP,DM,19-238,83,0,0,0,0,4,1,0,0,44,0,1,0,0.2,0.2,0,3,0,35,38,92.1,5,32,3,2,2,,,,,,,,,,,,,,,,,,,,,Valencia
Cristo,La-Liga,2021-2022,es ESP,LB,21-149,17,0,0,0,0,1,0,0,0,14,0,0,0,0,0,0.1,1,0,10,11,90.9,0,9,1,2,0,,,,,,,,,,,,,,,,,,,,,Valencia
Pablo Piatti,La-Liga,2021-2022,ar ARG,"AM,RM",32-179,76,0,0,0,0,2,2,0,0,26,3,0,0,0,0,0,1,0,13,16,81.3,0,15,0,2,1,,,,,,,,,,,,,,,,,,,,,Athletic Club
Coke,La-Liga,2021-2022,es ESP,RB,34-159,5,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,5,6,83.3,0,2,0,0,0,,,,,,,,,,,,,,,,,,,,,Cádiz
Chapela,La-Liga,2021-2022,es ESP,RM,22-134,20,0,0,0,0,0,0,0,0,8,0,0,1,0,0,0,0,0,3,5,60,1,4,1,1,0,,,,,,,,,,,,,,,,,,,,,Real Sociedad
Iván Alejo,La-Liga,2021-2022,es ESP,"LM,RM",26-234,31,0,0,0,0,0,0,1,0,18,3,0,0,0,0,0,0,0,5,8,62.5,0,14,1,0,0,,,,,,,,,,,,,,,,,,,,,Real Sociedad
Pedro Benito,La-Liga,2021-2022,es ESP,FW,21-189,31,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,3,5,60,0,6,1,0,0,,,,,,,,,,,,,,,,,,,,,Real Sociedad
Ansu Fati,La-Liga,2021-2022,es ESP,"RW,LW",18-336,27,0,0,0,0,2,1,0,0,15,0,0,0,0.1,0.1,0,1,0,8,12,66.7,0,14,1,1,0,,,,,,,,,,,,,,,,,,,,,Getafe
Nicolas Jackson,La-Liga,2021-2022,sn SEN,FW,20-105,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,1,100,0,2,0,0,0,,,,,,,,,,,,,,,,,,,,,Athletic Club
Vicente Iborra,La-Liga,2021-2022,es ESP,CM,33-260,1,0,0,0,0,0,0,0,0,5,0,0,2,0,0,0,0,0,2,2,100,0,2,0,0,0,,,,,,,,,,,,,,,,,,,,,Athletic Club
